character	initial	final	tone	roman	ascii	pretty	no-emc-data
濴		ig	0	igˋ	ig0	ìg	
濵	p	rn	0	prnˋ	prn0	pr̀n	!
濶	f	un	3	funˈ	fun3	fut	!
濷	f	rj	2	frjˉ	frj2	frj	!
濸	ṭx	og	0	ṭxogˋ	txjog0	ṭxòg	!
濹	m	rg	3	mrgˈ	mrg3	mrk	!
濺	ŧ	in	2	ŧinˉ	tsin2	ŧin	
濺	ŧ	in	0	ŧinˋ	tsin0	ŧìn	
濻	v	i	1	viˊ	vi1	ví	!
濼	l	og	3	logˈ	log3	lok	
濼	b	og	3	bogˈ	bog3	bok	
濼	ql	ig	3	qligˈ	qlig3	qlik	
濽	ṭ	an	2	ṭanˉ	tjan2	ṭan	!
濾	l	ơj	2	lơjˉ	leoj2	lơj	!
濿	l	rj	2	lrjˉ	lrj2	lrj	
瀀	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	
瀁	j	og	2	jogˉ	jog2	jog	
瀁	j	og	1	jogˊ	jog1	jóg	
瀂	l	ov	1	lovˊ	lov1	lóv	!
瀃	ṭx	i	2	ṭxiˉ	txji2	ṭxi	!
瀄	ṭ	in	3	ṭinˈ	tjin3	ṭit	
瀄	ṭ	in	3	ṭinˈ	tjin3	ṭit	
瀅		ig	0	igˋ	ig0	ìg	
瀅		ig	2	igˉ	ig2	ig	
瀆	d	ug	3	dugˈ	dug3	duk	
瀆	d	rv	2	drvˉ	drv2	drv	
瀇	qv	og	1	qvogˊ	qvog1	qvóg	
瀈	xv	rj	0	xvrjˋ	xvrj0	xvr̀j	
瀉	s	e	2	seˉ	se2	se	
瀉	s	e	1	seˊ	se1	sé	
瀊	b	un	0	bunˋ	bun0	bùn	!
瀋	ṣ	rm	1	ṣrmˊ	sjrm1	ṣŕm	
瀌	p	iv	0	pivˋ	piv0	pìv	
瀍	ḍ	in	0	ḍinˋ	djin0	ḍìn	
瀎	qm	un	3	qmunˈ	qmun3	qmut	
瀏	l	rv	0	lrvˋ	lrv0	lr̀v	
瀐	ṭ	im	0	ṭimˋ	tjim0	ṭìm	!
瀑	b	ug	3	bugˈ	bug3	buk	
瀑	bx	ug	3	bxugˈ	bxug3	bxuk	
瀑	b	ov	2	bovˉ	bov2	bov	
瀒	k	im	3	kimˈ	kim3	kip	!
瀓	ḍ	ig	0	ḍigˋ	djig0	ḍìg	!
瀔	k	ug	3	kugˈ	kug3	kuk	!
瀕	p	rn	0	prnˋ	prn0	pr̀n	!
瀕	b	rn	0	brnˋ	brn0	br̀n	!
瀖	xv	og	3	xvogˈ	xvog3	xvok	
瀗	x	in	2	xinˉ	xin2	xin	
瀘	l	ov	0	lovˋ	lov0	lòv	
瀙	ŧx	rn	2	ŧxrnˉ	tsxrn2	ŧxrn	
瀚	h	on	2	honˉ	hon2	hon	
瀛		ig	0	igˋ	ig0	ìg	
瀜	j	ug	0	jugˋ	jug0	jùg	
瀝	l	ig	3	ligˈ	lig3	lik	
瀝	ql	ig	3	qligˈ	qlig3	qlik	
瀝	l	eg	3	legˈ	leg3	lek	
瀞	ḍ	ig	2	ḍigˉ	djig2	ḍig	!
瀟	ṣ	iv	0	ṣivˋ	sjiv0	ṣìv	!
瀠		ig	0	igˋ	ig0	ìg	!
瀡	z	uj	1	zujˊ	zuj1	zúj	
瀢	v	i	1	viˊ	vi1	ví	
瀣	h	aj	2	hajˉ	haj2	haj	
瀤	hv	aj	0	hvajˋ	hvaj0	hvàj	
瀥	h	ov	2	hovˉ	hov2	hov	
瀦	ṭ	y	0	ṭyˋ	tjy0	ṭỳ	
瀧	l	ug	0	lugˋ	lug0	lùg	
瀧	ṣ	ơg	0	ṣơgˋ	sjeog0	ṣờg	
瀨	l	aj	2	lajˉ	laj2	laj	
瀩	d	ơj	2	dơjˉ	deoj2	dơj	!
瀪	w	an	2	wanˉ	wan2	wan	!
瀫	h	ug	3	hugˈ	hug3	huk	!
瀬	l	aj	2	lajˉ	laj2	laj	!
瀭	ṣ	y	0	ṣyˋ	sjy0	ṣỳ	!
瀮	l	rm	0	lrmˋ	lrm0	lr̀m	!
瀯		ig	0	igˋ	ig0	ìg	!
瀰	n	i	0	niˋ	ni0	nì	
瀰	m	i	0	miˋ	mi0	mì	
瀱	k	rj	2	krjˉ	krj2	krj	
瀲	l	im	2	limˉ	lim2	lim	
瀳	đ	in	2	đinˉ	dzin2	đin	
瀴	q	ig	0	qigˋ	qig0	qìg	
瀴	q	ig	1	qigˊ	qig1	qíg	
瀵	fx	rn	2	fxrnˉ	fxrn2	fxrn	
瀶	l	rm	0	lrmˋ	lrm0	lr̀m	
瀷		ig	3	igˈ	ig3	ik	
瀸	ŧ	im	0	ŧimˋ	tsim0	ŧìm	
瀹	j	og	3	jogˈ	jog3	jok	
瀺	ḍ	am	0	ḍamˋ	djam0	ḍàm	
瀻	t	aj	2	tajˉ	taj2	taj	!
瀼	ṇ	og	0	ṇogˋ	njog0	ṇòg	
瀼	ṇ	og	1	ṇogˊ	njog1	ṇóg	
瀽	ṭ	in	1	ṭinˊ	tjin1	ṭín	!
瀽	k	in	1	kinˊ	kin1	kín	!
瀾	l	an	0	lanˋ	lan0	làn	
瀿	w	an	0	wanˋ	wan0	wàn	
灀	ṣ	ơg	2	ṣơgˉ	sjeog2	ṣơg	!
灁	q	yn	0	qynˋ	qyn0	qỳn	!
灂	ḍ	og	3	ḍogˈ	djog3	ḍok	
灂	ṭ	iv	2	ṭivˉ	tjiv2	ṭiv	
灃	fx	ug	0	fxugˋ	fxug0	fxùg	
灄	ṣ	im	3	ṣimˈ	sjim3	ṣip	
灅	l	ơj	1	lơjˊ	leoj1	lớj	!
灆	l	am	0	lamˋ	lam0	làm	!
灇	ḍ	ug	0	ḍugˋ	djug0	ḍùg	!
灈	c	y	0	cyˋ	cy0	cỳ	
灉	qj	ug	0	qjugˋ	qjug0	qjùg	
灊	đ	im	0	đimˋ	dzim0	đìm	
灋	f	an	3	fanˈ	fan3	fat	
灌	k	un	2	kunˉ	kun2	kun	
灍	kx	yn	3	kxynˈ	kxyn3	kxyt	!
灎		im	2	imˉ	im2	im	!
灐		ig	0	igˋ	ig0	ìg	!
灑	ṣ	a	1	ṣaˊ	sja1	ṣá	
灒	ŧ	an	2	ŧanˉ	tsan2	ŧan	
灓	l	yn	0	lynˋ	lyn0	lỳn	
灔		im	2	imˉ	im2	im	!
灕	l	i	0	liˋ	li0	lì	
灖	m	ej	1	mejˊ	mej1	méj	!
灗	ẓ	in	1	ẓinˊ	zjin1	ẓín	!
灘	tx	an	0	txanˋ	txan0	txàn	
灙	t	og	1	togˊ	tog1	tóg	!
灚	k	av	1	kavˊ	kav1	káv	!
灛	ṭx	in	1	ṭxinˊ	txjin1	ṭxín	
灜		ig	0	igˋ	ig0	ìg	!
灝	h	ov	2	hovˉ	hov2	hov	
灞	p	a	2	paˉ	pa2	pa	
灟	ṭ	ug	3	ṭugˈ	tjug3	ṭuk	!
灠	l	am	1	lamˊ	lam1	lám	!
灠	l	am	2	lamˉ	lam2	lam	!
灡	l	an	0	lanˋ	lan0	làn	!
灢	n	og	1	nogˊ	nog1	nóg	
灣	qv	an	0	qvanˋ	qvan0	qvàn	
灣	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	
灣	v	an	0	vanˋ	van0	vàn	
灤	l	yn	0	lynˋ	lyn0	lỳn	
灥	đ	on	0	đonˋ	dzon0	đòn	
灦	x	in	1	xinˊ	xin1	xín	!
灧		im	2	imˉ	im2	im	!
灨	k	om	2	komˉ	kom2	kom	
灩		im	2	imˉ	im2	im	
灪	qv	rn	3	qvrnˈ	qvrn3	qvrt	
火	xv	o	1	xvoˊ	xvo1	xvó	
灬	p	iv	0	pivˋ	piv0	pìv	!
灮	kv	og	0	kvogˋ	kvog0	kvòg	
灰	xv	uj	0	xvujˋ	xvuj0	xvùj	
灱	x	av	0	xavˋ	xav0	xàv	
灲	x	av	0	xavˋ	xav0	xàv	!
灳	f	rj	0	frjˋ	frj0	fr̀j	!
灴	h	ug	0	hugˋ	hug0	hùg	!
灷	ḍ	yn	2	ḍynˉ	djyn2	ḍyn	!
灸	k	rv	2	krvˉ	krv2	krv	
灹	ṭ	a	2	ṭaˉ	tja2	ṭa	
灺	s	e	2	seˉ	se2	se	
灺	đ	e	1	đeˊ	dze1	đé	
灺	ŧx	e	1	ŧxeˊ	tsxe1	ŧxé	
灻	ṭx	eg	3	ṭxegˈ	txjeg3	ṭxek	!
灼	ṭx	ơg	3	ṭxơgˈ	txjeog3	ṭxơk	
灼	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	
災	ŧ	oj	0	ŧojˋ	tsoj0	ŧòj	
灾	ŧ	oj	0	ŧojˋ	tsoj0	ŧòj	
炁	x	i	2	xiˉ	xi2	xi	
炂	ṭ	ug	0	ṭugˋ	tjug0	ṭùg	
炃	w	rn	0	wrnˋ	wrn0	wr̀n	!
炄	n	rv	1	nrvˊ	nrv1	nŕv	!
炅	kv	ig	1	kvigˊ	kvig1	kvíg	
炅	kv	i	2	kviˉ	kvi2	kvi	
炅	cv	i	2	cviˉ	cvi2	cvi	
炆	qm	rn	0	qmrnˋ	qmrn0	qmr̀n	!
炇	px	og	3	pxogˈ	pxog3	pxok	!
炈		ig	3	igˈ	ig3	ik	
炊	ṭx	uj	0	ṭxujˋ	txjuj0	ṭxùj	
炋	px	uj	0	pxujˋ	pxuj0	pxùj	!
炌	kx	aj	2	kxajˉ	kxaj2	kxaj	!
炍	px	un	2	pxunˉ	pxun2	pxun	!
炎		im	0	imˋ	im0	ìm	
炏	kx	aj	2	kxajˉ	kxaj2	kxaj	!
炐	px	og	2	pxogˉ	pxog2	pxog	!
炑	m	ug	3	mugˈ	mug3	muk	!
炒	ṭx	av	1	ṭxavˊ	txjav1	ṭxáv	
炓	l	iv	2	livˉ	liv2	liv	
炔	kx	yn	3	kxynˈ	kxyn3	kxyt	
炔	k	rj	2	krjˉ	krj2	krj	
炔	kv	i	2	kviˉ	kvi2	kvi	
炕	kx	og	2	kxogˉ	kxog2	kxog	
炕	x	og	2	xogˉ	xog2	xog	
炖	d	rn	2	drnˉ	drn2	drn	!
炖	d	on	2	donˉ	don2	don	!
炗	kv	og	0	kvogˋ	kvog0	kvòg	!
炘	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	
炙	ṭ	eg	3	ṭegˈ	tjeg3	ṭek	
炙	ṭ	ig	3	ṭigˈ	tjig3	ṭik	
炚	kv	og	0	kvogˋ	kvog0	kvòg	!
炛	kv	og	0	kvogˋ	kvog0	kvòg	!
炞	b	in	2	binˉ	bin2	bin	!
炟	t	an	3	tanˈ	tan3	tat	
炠	ẓ	am	3	ẓamˈ	zjam3	ẓap	
炡	ṭ	ig	0	ṭigˋ	tjig0	ṭìg	!
炢	ẓ	on	3	ẓonˈ	zjon3	ẓot	
炣	x	o	1	xoˊ	xo1	xó	!
炤	ṭ	iv	2	ṭivˉ	tjiv2	ṭiv	
炤	ṭx	iv	0	ṭxivˋ	txjiv0	ṭxìv	
炤	ṭ	iv	0	ṭivˋ	tjiv0	ṭìv	
炥	w	rn	3	wrnˈ	wrn3	wrt	
炦	b	rn	3	brnˈ	brn3	brt	
炧	ṣ	e	2	ṣeˉ	sje2	ṣe	!
炧	ḍ	e	1	ḍeˊ	dje1	ḍé	!
炧	ṭx	e	1	ṭxeˊ	txje1	ṭxé	!
炨	ṣ	e	2	ṣeˉ	sje2	ṣe	!
炩	l	ig	2	ligˉ	lig2	lig	!
炪	t	yn	3	tynˈ	tyn3	tyt	
炫	h	yn	2	hynˉ	hyn2	hyn	
炫	h	yn	0	hynˋ	hyn0	hỳn	
炬	c	y	2	cyˉ	cy2	cy	
炭	tx	an	2	txanˉ	txan2	txan	
炮	px	av	2	pxavˉ	pxav2	pxav	
炮	b	av	0	bavˋ	bav0	bàv	
炮	p	av	2	pavˉ	pav2	pav	
炯	kv	ig	1	kvigˊ	kvig1	kvíg	
炰	b	av	0	bavˋ	bav0	bàv	
炰	f	rv	1	frvˊ	frv1	fŕv	
炱	d	oj	0	dojˋ	doj0	dòj	
炲	d	oj	0	dojˋ	doj0	dòj	!
炳	p	ig	1	pigˊ	pig1	píg	
炴	qj	og	1	qjogˊ	qjog1	qjóg	
炵	tx	ug	0	txugˋ	txug0	txùg	
炶	ṣ	im	1	ṣimˊ	sjim1	ṣím	
炷	ṭ	y	2	ṭyˉ	tjy2	ṭy	
炸	ṭ	a	2	ṭaˉ	tja2	ṭa	!
為	v	i	0	viˋ	vi0	vì	
為	qv	i	1	qviˊ	qvi1	qví	
為	v	i	2	viˉ	vi2	vi	
炻	ẓ	eg	3	ẓegˈ	zjeg3	ẓek	!
炾	f	og	1	fogˊ	fog1	fóg	!
炿	ṭ	rv	0	ṭrvˋ	tjrv0	ṭr̀v	!
烀	f	u	0	fuˋ	fu0	fù	!
烄	k	av	1	kavˊ	kav1	káv	
烅	kv	ig	3	kvigˈ	kvig3	kvik	!
烆	h	rg	0	hrgˋ	hrg0	hr̀g	!
烇	ṭx	yn	1	ṭxynˊ	txjyn1	ṭxýn	!
烈	l	in	3	linˈ	lin3	lit	
烉		un	2	unˉ	un2	un	!
烊	j	og	0	jogˋ	jog0	jòg	
烊	qj	og	1	qjogˊ	qjog1	qjóg	
烋	x	av	0	xavˋ	xav0	xàv	
烋	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	
烌	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	!
烍	ṣ	in	1	ṣinˊ	sjin1	ṣín	!
烎	ḍ	im	0	ḍimˋ	djim0	ḍìm	!
烏	q	u	0	quˋ	qu0	qù	
烐	ṭ	rv	0	ṭrvˋ	tjrv0	ṭr̀v	!
烑		iv	0	ivˋ	iv0	ìv	
烒	ṣ	ig	3	ṣigˈ	sjig3	ṣik	
烓	kv	ig	0	kvigˋ	kvig0	kvìg	
烔	d	ug	0	dugˋ	dug0	dùg	
烔	ḍ	ug	0	ḍugˋ	djug0	ḍùg	
烕	x	yn	3	xynˈ	xyn3	xyt	
烕	kx	yn	3	kxynˈ	kxyn3	kxyt	
烕	m	in	3	minˈ	min3	mit	
烖	ŧ	oj	0	ŧojˋ	tsoj0	ŧòj	
烗	kx	aj	2	kxajˉ	kxaj2	kxaj	
烘	x	ug	2	xugˉ	xug2	xug	
烘	x	ug	0	xugˋ	xug0	xùg	
烘	x	og	2	xogˉ	xog2	xog	
烘	h	ug	0	hugˋ	hug0	hùg	
烙	ql	og	3	qlogˈ	qlog3	qlok	
烚	h	rm	3	hrmˈ	hrm3	hrp	
烜	x	yn	1	xynˊ	xyn1	xýn	
烜	x	yn	0	xynˋ	xyn0	xỳn	
烝	ṭ	ig	0	ṭigˋ	tjig0	ṭìg	
烞	px	og	3	pxogˈ	pxog3	pxok	!
烟	q	in	0	qinˋ	qin0	qìn	
烟	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	
烠	h	uj	0	hujˋ	huj0	hùj	
烡	kv	og	0	kvogˋ	kvog0	kvòg	!
烢	ṭx	ag	3	ṭxagˈ	txjag3	ṭxak	!
烣	f	uj	0	fujˋ	fuj0	fùj	!
烤	x	av	0	xavˋ	xav0	xàv	!
烤	x	av	1	xavˊ	xav1	xáv	!
烥	c	ơj	2	cơjˉ	ceoj2	cơj	!
烪	kv	an	0	kvanˋ	kvan0	kvàn	!
烮	l	in	3	linˈ	lin3	lit	!
烯	x	ej	0	xejˋ	xej0	xèj	!
烰	w	rv	0	wrvˋ	wrv0	wr̀v	
烱	kv	ig	1	kvigˊ	kvig1	kvíg	!
烲	x	in	3	xinˈ	xin3	xit	!
烳	px	ov	1	pxovˊ	pxov1	pxóv	
烴	tx	ig	0	txigˋ	txig0	txìg	
烵	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	!
烶	d	ig	1	digˊ	dig1	díg	!
烷	q	yn	1	qynˊ	qyn1	qýn	!
烷		yn	0	ynˋ	yn0	ỳn	!
烸	x	oj	1	xojˊ	xoj1	xój	!
烹	px	ag	0	pxagˋ	pxag0	pxàg	!
烺	l	og	1	logˊ	log1	lóg	!
烻	q	in	2	qinˉ	qin2	qin	!
烼	xv	rn	3	xvrnˈ	xvrn3	xvrt	
烽	fx	ug	0	fxugˋ	fxug0	fxùg	
烾	ṭx	eg	3	ṭxegˈ	txjeg3	ṭxek	
烿	j	ug	0	jugˋ	jug0	jùg	!
焀	h	ug	3	hugˈ	hug3	huk	
焁	x	i	0	xiˋ	xi0	xì	
焂	ṣ	ug	3	ṣugˈ	sjug3	ṣuk	!
焃	x	ag	3	xagˈ	xag3	xak	
焄	xv	rn	0	xvrnˋ	xvrn0	xvr̀n	
焅	c	ug	3	cugˈ	cug3	cuk	
焆	k	yn	0	kynˋ	kyn0	kỳn	
焇	s	iv	0	sivˋ	siv0	sìv	
焈	x	ej	0	xejˋ	xej0	xèj	!
焉	q	in	0	qinˋ	qin0	qìn	
焉		in	0	inˋ	in0	ìn	
焊	h	on	2	honˉ	hon2	hon	
焋	ṭ	og	2	ṭogˉ	tjog2	ṭog	!
焌	ŧ	on	2	ŧonˉ	tson2	ŧon	
焌	ŧ	on	3	ŧonˈ	tson3	ŧot	
焍	d	rj	2	drjˉ	drj2	drj	!
焎	x	in	3	xinˈ	xin3	xit	
焏	k	ig	3	kigˈ	kig3	kik	!
焐	g		2	gˉ	g2	g	!
焑	q	in	0	qinˋ	qin0	qìn	!
焒	l	ơj	1	lơjˊ	leoj1	lớj	!
焓	h	rm	0	hrmˋ	hrm0	hr̀m	!
焔		im	2	imˉ	im2	im	!
焕		un	2	unˉ	un2	un	!
焗	c	ug	3	cugˈ	cug3	cuk	!
焙	b	uj	2	bujˉ	buj2	buj	!
焙	bx	uj	2	bxujˉ	bxuj2	bxuj	!
焚	w	rn	0	wrnˋ	wrn0	wr̀n	
焛	l	on	2	lonˉ	lon2	lon	!
焜	kxv	rn	0	kxvrnˋ	kxvrn0	kxvr̀n	
焝	f	rn	2	frnˉ	frn2	frn	!
焞	ẓ	on	0	ẓonˋ	zjon0	ẓòn	
焞	tx	rn	0	txrnˋ	txrn0	txr̀n	
焟	s	ig	3	sigˈ	sig3	sik	
焠	ŧx	uj	2	ŧxujˉ	tsxuj2	ŧxuj	
焠	z	uj	2	zujˉ	zuj2	zuj	
無	m	ov	0	movˋ	mov0	mòv	
無	m	o	0	moˋ	mo0	mò	
焢	x	ug	0	xugˋ	xug0	xùg	!
焣	ṭx	av	1	ṭxavˊ	txjav1	ṭxáv	!
焤	w	u	2	wuˉ	wu2	wu	!
焥	qv	an	3	qvanˈ	qvan3	qvat	
焦	ŧ	iv	0	ŧivˋ	tsiv0	ŧìv	
焧	ṭx	ug	0	ṭxugˋ	txjug0	ṭxùg	!
焨	f	ug	2	fugˉ	fug2	fug	!
焩	b	rg	0	brgˋ	brg0	br̀g	!
焪	x	ug	2	xugˉ	xug2	xug	
焫	qṇ	yn	3	qṇynˈ	qnjyn3	qṇyt	
焫	ṇ	yn	3	ṇynˈ	njyn3	ṇyt	
焫	qn	an	3	qnanˈ	qnan3	qnat	
焬	ṣ	ig	3	ṣigˈ	sjig3	ṣik	!
焭	c	ig	0	cigˋ	cig0	cìg	
焮	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	
焯	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	
焯	ṭx	ơg	3	ṭxơgˈ	txjeog3	ṭxơk	
焰		im	2	imˉ	im2	im	
焰		im	0	imˋ	im0	ìm	
焱		im	2	imˉ	im2	im	
焲		ig	3	igˈ	ig3	ik	
焳	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	!
焴	qj	ug	3	qjugˈ	qjug3	qjuk	
焵	k	og	2	kogˉ	kog2	kog	!
然	ṇ	in	0	ṇinˋ	njin0	ṇìn	
然	qṇ	in	1	qṇinˊ	qnjin1	qṇín	
焷	b	i	0	biˋ	bi0	bì	
焸	x	ig	1	xigˊ	xig1	xíg	
焹	k	og	2	kogˉ	kog2	kog	!
焺	ṣ	ig	0	ṣigˋ	sjig0	ṣìg	!
焻	ṭx	ơg	2	ṭxơgˉ	txjeog2	ṭxơg	!
焼	ṣ	iv	0	ṣivˋ	sjiv0	ṣìv	!
焽	m	ig	0	migˋ	mig0	mìg	!
焾	n	rm	0	nrmˋ	nrm0	nr̀m	!
焿	k	rg	0	krgˋ	krg0	kr̀g	!
煀	qv	rn	3	qvrnˈ	qvrn3	qvrt	!
煁	ẓ	rm	0	ẓrmˋ	zjrm0	ẓr̀m	
煂	x	ag	3	xagˈ	xag3	xak	!
煃	kxv	i	1	kxviˊ	kxvi1	kxví	!
煄	ṭ	ug	1	ṭugˊ	tjug1	ṭúg	!
煅	t	yn	2	tynˉ	tyn2	tyn	!
煅	d	yn	2	dynˉ	dyn2	dyn	!
煆	h	a	2	haˉ	ha2	ha	
煇	xv	rj	0	xvrjˋ	xvrj0	xvr̀j	
煇	qv	i	0	qviˋ	qvi0	qvì	
煇	hv	rn	2	hvrnˉ	hvrn2	hvrn	
煈	f	ug	2	fugˉ	fug2	fug	!
煉	l	in	2	linˉ	lin2	lin	!
煊	x	yn	0	xynˋ	xyn0	xỳn	!
煋	ṣ	ig	0	ṣigˋ	sjig0	ṣìg	!
煌	hv	og	0	hvogˋ	hvog0	hvòg	
煍	ṭ	iv	1	ṭivˊ	tjiv1	ṭív	!
煎	ŧ	in	0	ŧinˋ	tsin0	ŧìn	
煏	p	ig	3	pigˈ	pig3	pik	!
煐	q	ig	0	qigˋ	qig0	qìg	!
煑	ṭ	y	1	ṭyˊ	tjy1	ṭý	
煒	v	i	1	viˊ	vi1	ví	
煓	tx	yn	0	txynˋ	txyn0	txỳn	
煔	ṣ	im	1	ṣimˊ	sjim1	ṣím	
煕	x	ej	0	xejˋ	xej0	xèj	!
煖	n	yn	1	nynˊ	nyn1	nýn	
煖	x	yn	0	xynˋ	xyn0	xỳn	
煗	n	yn	1	nynˊ	nyn1	nýn	
煘	ḍ	im	0	ḍimˋ	djim0	ḍìm	!
煙	q	in	0	qinˋ	qin0	qìn	
煚	kv	ig	1	kvigˊ	kvig1	kvíg	
煛	kv	ig	1	kvigˊ	kvig1	kvíg	
煜	qj	ug	3	qjugˈ	qjug3	qjuk	
煝	m	i	2	miˉ	mi2	mi	
煞	ṣ	an	3	ṣanˈ	sjan3	ṣat	
煟	v	i	2	viˉ	vi2	vi	
煠	ṭ	a	2	ṭaˉ	tja2	ṭa	
煡	ḍ	on	2	ḍonˉ	djon2	ḍon	!
煢	c	ig	0	cigˋ	cig0	cìg	
煣	qṇ	rv	1	qṇrvˊ	qnjrv1	qṇŕv	
煤	m	uj	0	mujˋ	muj0	mùj	
煥		un	2	unˉ	un2	un	
煦	x	y	1	xyˊ	xy1	xý	
煦	x	y	2	xyˉ	xy2	xy	
照	ṭ	iv	2	ṭivˉ	tjiv2	ṭiv	
煨	q	uj	0	qujˋ	quj0	qùj	
煩	w	an	0	wanˋ	wan0	wàn	
煪	đ	rv	0	đrvˋ	dzrv0	đr̀v	
煫	ẓ	ơj	2	ẓơjˉ	zjeoj2	ẓơj	!
煬	j	og	0	jogˋ	jog0	jòg	
煬	j	og	2	jogˉ	jog2	jog	
煭	l	in	3	linˈ	lin3	lit	!
煮	ṭ	y	1	ṭyˊ	tjy1	ṭý	!
煯	k	aj	0	kajˋ	kaj0	kàj	!
煰	ṭx	ov	2	ṭxovˉ	txjov2	ṭxov	!
煱	qv	o	0	qvoˋ	qvo0	qvò	!
煲	p	ov	0	povˋ	pov0	pòv	!
煳		u	0	uˋ	u0	ù	!
煴	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	
煵	n	am	0	namˋ	nam0	nàm	!
煶	ḍ	ig	3	ḍigˈ	djig3	ḍik	!
煷	f	o	1	foˊ	fo1	fó	!
煸	px	in	0	pxinˋ	pxin0	pxìn	!
煸	p	in	0	pinˋ	pin0	pìn	!
煹	k	rv	2	krvˉ	krv2	krv	
煺	tx	ơj	2	txơjˉ	txeoj2	txơj	!
煻	d	og	0	dogˋ	dog0	dòg	
煼	ṭx	av	1	ṭxavˊ	txjav1	ṭxáv	
煽	ṣ	in	2	ṣinˉ	sjin2	ṣin	
煾	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	
煿	p	og	3	pogˈ	pog3	pok	!
熀	f	og	1	fogˊ	fog1	fóg	!
熁	x	im	3	ximˈ	xim3	xip	
熂	x	i	2	xiˉ	xi2	xi	
熃	m	ov	2	movˉ	mov2	mov	!
熄	s	ig	3	sigˈ	sig3	sik	
熅	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	!
熆	h	om	3	homˈ	hom3	hop	
熇	h	ug	3	hugˈ	hug3	huk	
熇	kx	og	3	kxogˈ	kxog3	kxok	
熇	x	og	3	xogˈ	xog3	xok	
熈	x	ej	0	xejˋ	xej0	xèj	!
熉		yn	0	ynˋ	yn0	ỳn	!
熊	h	ug	0	hugˋ	hug0	hùg	
熋	n	oj	0	nojˋ	noj0	nòj	!
熌	ṣ	im	2	ṣimˉ	sjim2	ṣim	!
熍	x	ug	2	xugˉ	xug2	xug	!
熎	q	iv	2	qivˉ	qiv2	qiv	!
熏	xv	rn	0	xvrnˋ	xvrn0	xvr̀n	
熐	m	ig	3	migˈ	mig3	mik	!
熑	l	im	0	limˋ	lim0	lìm	
熒	h	ig	0	higˋ	hig0	hìg	
熓	qv	rn	3	qvrnˈ	qvrn3	qvrt	!
熔	j	ug	0	jugˋ	jug0	jùg	!
熕	k	ug	2	kugˉ	kug2	kug	!
熖		im	2	imˉ	im2	im	!
熗	ṭx	ơg	2	ṭxơgˉ	txjeog2	ṭxơg	!
熘	l	rv	2	lrvˉ	lrv2	lrv	!
熘	ql	iv	0	qlivˋ	qliv0	qlìv	!
熘	l	rv	0	lrvˋ	lrv0	lr̀v	!
熙	x	i	0	xiˋ	xi0	xì	
熚	p	rn	3	prnˈ	prn3	prt	
熛	p	iv	0	pivˋ	piv0	pìv	
熜	ṭ	ug	1	ṭugˊ	tjug1	ṭúg	!
熜	ṭx	ug	0	ṭxugˋ	txjug0	ṭxùg	!
熝	l	ug	3	lugˈ	lug3	luk	!
熞	k	in	0	kinˋ	kin0	kìn	!
熟	ẓ	ug	3	ẓugˈ	zjug3	ẓuk	
熠	qj	rm	3	qjrmˈ	qjrm3	qjrp	
熠	ẓ	am	3	ẓamˈ	zjam3	ẓap	
熡	l	rv	0	lrvˋ	lrv0	lr̀v	!
熢	b	ug	0	bugˋ	bug0	bùg	!
熣	ṣ	ơj	0	ṣơjˋ	sjeoj0	ṣờj	!
熤		ig	3	igˈ	ig3	ik	!
熥	tx	ug	0	txugˋ	txug0	txùg	!
熦	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	!
熧	ŧ	ug	0	ŧugˋ	tsug0	ŧùg	
熨	tx	og	2	txogˉ	txog2	txog	
熨	v	rn	2	vrnˉ	vrn2	vrn	
熨	qv	rn	3	qvrnˈ	qvrn3	qvrt	
熨	qv	i	2	qviˉ	qvi2	qvi	
熩		u	2	uˉ	u2	u	!
熪		i	0	iˋ	i0	ì	
熫	ṭ	eg	3	ṭegˈ	tjeg3	ṭek	!
熬	g	av	0	gavˋ	gav0	gàv	
熬	g	ov	0	govˋ	gov0	gòv	
熭	v	i	2	viˉ	vi2	vi	
熮	l	rv	1	lrvˊ	lrv1	lŕv	
熯	x	on	2	xonˉ	xon2	xon	
熰	q	rv	0	qrvˋ	qrv0	qr̀v	!
熱	ṇ	in	3	ṇinˈ	njin3	ṇit	
熲	kv	ig	1	kvigˊ	kvig1	kvíg	
熲	k	rg	1	krgˊ	krg1	kŕg	
熳	m	an	2	manˉ	man2	man	!
熴	kxv	rn	0	kxvrnˋ	kxvrn0	kxvr̀n	!
