character	initial	final	tone	mc
滿	m	un	1	muan1
漀	x	ig	1	
漁	g	y	0	gio0
漂	ꝑ	iv	0	ꝑjeu0,ꝑjeu2
漂	ꝑ	iv	2	ꝑjeu0,ꝑjeu2
漃	ḑ	ig	3	
漄	g	aj	0	
漅	ţ	iv	1	ţieu1
漆	ṯ	rn	3	ṯit
漆	ṯ	in	3	ṯit
漇	s	aj	1	
漈	ţ	rj	2	
漉	l	ug	3	luk
漊	l	rv	0	lyo1,lu1
漋	l	ug	0	
漌	k	rn	1	kion1
漍	kv	og	3	kruek
漎	ḑ	ug	0	
漎	s	ug	1	
漏	l	rv	2	lu2
漐	dj	rm	3	ŧrip
漑	ꝁ	oj	2	kioi2,kai2
漒	c	wg	0	
漓	l	i	0	lie0
演	q	in	1	jen1
演		in	1	jen1
漕	ḑ	ov	0	ḑau0,ḑau2
漖	k	av	2	
漗	ṯ	ug	0	
漘	zj	on	0	zjyn0
漙	d	yn	0	duan0
漚	q	rv	2	qu0,qu2
漚	q	rv	0	qu0,qu2
漛	d	rg	0	
漜	j	e	1	
漝	ḑ	am	3	
漞	m	ig	3	mek
漟	d	og	0	
漠	m	og	3	mak
漡	ŧ	og	0	
漢	x	on	2	xan2
漣	l	in	0	lien0,lien2
漤	l	am	1	lom1
漤	l	am	2	lom1
漥	qv	a	0	
漦	l	i	0	zri0
漧	k	on	0	kan0
漨	bhv	ug	0	byug0
漩	z	yn	0	
漪	q	i	0	qie0
漪	q	i	1	qie0
漫	m	an	2	muan2
漬	ţ	i	2	ḑie2
漬	ţ	ig	3	ḑie2
漭	m	og	1	mag1,mag2
漮	ꝁ	og	0	ꝁag0
漯	ŧ	am	3	ŧop
漯	l	wj	1	ŧop
漯	l	wj	2	ŧop
漯	ql	og	3	ŧop
漯	l	o	2	ŧop
漰	ꝑ	ag	0	ꝑog0
漱	s	rv	2	sriu2,su2
漱	s	ov	2	sriu2,su2
漲	tj	wg	1	triag0,triag2
漲	tj	wg	2	triag0,triag2
漳	tj	wg	0	ţjag0
漴	dj	og	2	ḑrug2
漵	ḑ	wj	2	zio1
漶	hv	an	2	xuan2
漷	kv	og	3	ꝁuak,xruak
漷	ꝁv	og	3	ꝁuak,xruak
漷	xv	og	3	ꝁuak,xruak
漸	ḑ	im	2	ţiem0,ḑiem1
漸	ţ	im	1	ţiem0,ḑiem1
漸	ţ	im	0	ţiem0,ḑiem1
漹	h	in	0	ien0,qian2
漺	sj	og	1	ṯriag1,sriag1
漻	l	iv	0	leu0
漻	l	rv	0	leu0
漼	ṯ	uj	1	ṯuai1
漽	d	rj	0	
漾	j	og	2	jag2
漿	ţ	wg	0	ţiag0
潀	ḑ	ug	0	
潁	v	ig	2	jyeg1
潂	h	ug	0	
潃	s	rv	0	
潄	s	rv	2	
潄	s	ov	2	
潅	k	un	2	
潈	ţ	ug	0	
潉	v	rn	2	
潊	ḑ	wj	2	
潌	ḑ	rn	3	
潎	ꝑ	in	3	ꝑjed0,ꝑjet
潏	ꝁ	yn	3	zjyt,jyt,kuet
潏	v	rn	3	zjyt,jyt,kuet
潏	zj	on	3	zjyt,jyt,kuet
潐	ţ	iv	2	ţieu2
潒	d	og	2	ziag1,dag1
潓	hv	i	2	xue2
潔	k	in	3	ket
潕	m	ov	1	myo1
潖	b	a	0	
潗	ṯ	rm	3	ţip
潘	ꝑ	un	0	ꝑuan0
潙	kv	i	0	ye0,kye0
潚	s	ug	3	seu0,siuk
潛	ḑ	im	0	ḑiem0,ḑiem2
潝	ꝁ	rm	3	xip
潞	l	ov	2	lo2
潟	s	ig	3	siek
潠	s	on	2	suon2
潡	d	rn	2	
潢	hv	og	0	xuag0,xuag2
潣	m	rn	1	muai1,min1
潤	nj	on	2	njyn2
潥	s	ug	3	
潦	l	ov	1	lau1,lau2
潦	l	iv	0	lau1,lau2
潦	l	iv	1	lau1,lau2
潦	l	ov	2	lau1,lau2
潧	tj	on	0	ţrin0
潨	ţ	ug	0	ţjug0,ḑug0,ḑuug0
潩		i	2	ji2,jik
潪	dj	ig	3	trie2,driek
潫	qv	an	0	qruan0,qjyen0,qyen0
潬	ŧ	an	0	dan1
潭	d	am	0	dom0,jim1
潮	dj	iv	0	drieu0
潯	ḑ	rm	0	zim0
潰	ꝁ	uj	1	xuai2
潱	qj	rn	0	
潲	sj	av	2	srau2
潳	d	ov	0	
潴	ţ	y	0	
潵	s	an	3	
潵	s	an	2	
潶	x	rg	3	xok
潷	p	ej	2	pit
潸	sj	an	0	sran0,sran1
潹	z	an	0	
潺	zj	an	0	ḑren0,ḑrien0
潻	s	y	1	
潼	d	ug	0	dug0,ṯjyug0
潽	ꝑ	ov	0	
潾	l	on	0	lin0,lren0
潿	hv	i	0	yoi0
澀	k	im	3	srip
澀	sj	ig	3	srip
澀	sj	rm	3	srip
澁	k	im	3	srip
澁	sj	ig	3	srip
澁	sj	rm	3	srip
澂	dj	ig	0	drig0
澃	kv	ig	2	
澄	dj	ig	0	drag0,drig0
澄	d	rg	2	drag0,drig0
澅	hv	a	2	xrue2
澆	x	iv	0	keu0,geu2
澆	k	iv	0	keu0,geu2
澆	g	ov	2	keu0,geu2
澇	l	ov	2	lau0,lau1,lau2
澇	l	ov	0	lau0,lau1,lau2
澈	ŧj	in	3	driet
澉	k	om	1	kam1,ŧam2
澊	ṯ	yn	0	
澋	hv	rg	2	xruag1
澌	s	i	0	sie2
澍	zj	y	2	ḑjyo2,ţjyo2
澎	b	ag	0	brag0,ꝑrag0
澎	ꝑ	ag	0	brag0,ꝑrag0
澏	h	rm	0	
澐	hv	rn	0	yon0
澑	l	rv	2	
澒	h	ug	2	xug1
澒	x	ug	2	xug1
澓	bv	ug	3	biuk
澔	h	ov	2	
澕	v	o	0	
澖	h	an	0	
澗	k	an	2	kran2
澗	k	an	1	kran2
澘	s	an	0	
澙	s	ig	3	
澚		yn	3	
澝	n	ig	2	
澞	g	y	0	gyo0
澟	l	rm	1	
澠	m	rn	1	zjig0,mjin1
澠	zj	ig	0	zjig0,mjin1
澡	ṯ	ov	2	ţau1
澡	ţ	ov	1	ţau1
澢	t	og	0	
澣	hv	un	1	xuan1
澣	qv	un	1	xuan1
澤	dj	ag	3	drak
澤	sj	ig	3	drak
澥	h	aj	1	xre1
澦		y	2	jo2
澧	l	rj	1	le1
澨	zj	rj	2	ḑjed0
澩	h	og	3	xrau1,ḑruk,xruk
澪	l	ig	0	leg0
澫	m	an	2	
澬	ţ	i	0	ţii0,ḑii0
澭	qj	ug	0	qyug0
澮	ꝁ	uj	1	kuad0
澯	ṯ	an	2	
澰	l	im	2	
澱	d	in	2	den2
澲	g	im	3	giap
澳	q	ov	2	qau2,qiuk
澳	qj	ug	3	qau2,qiuk
澴	hv	an	0	xruan0
澵	ţ	on	0	
澶	zj	in	0	ḑjen0,dan2
澶	zj	im	0	ḑjen0,dan2
澶	t	an	2	ḑjen0,dan2
澷	m	an	2	
澸	t	rm	1	
澹	d	am	2	dam0,dam1,dam2
澹	d	am	0	dam0,dam1,dam2
澺	q	ig	3	qik
澻	z	uj	2	zyi2
澼	ꝑ	ig	3	ꝑek
澽	c	y	2	kio2,ţio2
澽	k	y	2	kio2,ţio2
澾	ŧ	an	3	ŧat
澿	c	rm	0	ţim0
激	k	ig	3	keu2,kek
濁	dj	ug	3	druk
濂	l	im	0	
濃	n	ug	0	nryug0
濄	qv	o	0	qua0
濅	ţ	rm	2	
濆	bhv	rn	0	byon0,ꝑuon0
濆	ꝑ	rn	2	byon0,ꝑuon0
濇	k	im	3	srik,srip
濇	sj	ig	3	srik,srip
濇	sj	rm	3	srik,srip
濈	ŧj	rm	3	ţrip
濉	s	uj	0	syi0
濊	xv	i	2	xuad0,quad0,qyad0,xuat
濊	ꝁ	un	3	xuad0,quad0,qyad0,xuat
濋	ŧj	o	1	ṯrio1
濌	ŧ	am	3	ŧop
濍	s	ug	0	
濎	t	ig	1	teg1
濎	d	ig	1	teg1
濏	s	rn	3	
濐	ţ	y	1	
濓	l	im	0	lem0
濔	m	i	0	mje1
濔	m	i	1	mje1
濔	n	i	0	mje1
濕	sj	om	3	sjip,ŧop
濖	z	y	2	
濗	m	ig	3	mek
濘	n	ig	2	neg1,ne2,neg2
濘	n	ig	0	neg1,ne2,neg2
濙		ig	0	queg1
濚		ig	0	
濛	m	ug	0	mug0,mug1
濜	ḑ	on	2	ţin0,ḑin1,ḑrin1,zin2
濝	c	ej	0	
濞	ꝑ	i	2	ꝑii2,ꝑe2
濟	ţ	rj	2	ţe1,ţe2
濟	ţ	rj	1	ţe1,ţe2
濠	h	ov	0	xau0
濡	nj	y	0	njyo0,nuan0
濢	ṯ	uj	2	ţyi1,ṯyi2
濣	qv	an	3	
濤	d	ov	0	dau0
濥	j	rn	1	jin1,jin2
濦	qj	rn	0	
濦	qj	rn	1	
濧	d	uj	2	duai2
濨	ḑ	i	0	ḑi0
濩	hv	og	3	xo2,xuak,qyek
濩	hv	u	2	xo2,xuak,qyek
濪	ṯ	ig	2	
濫	l	am	2	xram1,lam2
濫	l	am	1	xram1,lam2
濬	ţ	on	2	syn2
濬	s	on	2	syn2
濭	q	oj	2	
濮	b	ug	3	puk
濯	dj	og	3	drau2,druk
濰	v	i	0	jyi0
濱	p	rn	0	pjin0
濲	k	ug	3	kuk
濳	ḑ	im	0	
濴		ig	0	jyeg0
濵	p	rn	0	
濶	pv	un	3	
濷	pv	i	2	
濸	ṯ	og	0	
濹	m	rg	3	
濺	ţ	in	2	ţen0,ţien2
濺	ţ	in	0	ţen0,ţien2
濻	v	i	1	
濼	l	og	3	luk,ꝑuk,luuk,lak,ꝑak,lek
濼	b	og	3	luk,ꝑuk,luuk,lak,ꝑak,lek
濼	ql	ig	3	luk,ꝑuk,luuk,lak,ꝑak,lek
濽	ţ	an	2	
濾	l	wj	2	
濿	l	rj	2	lied0
瀀	qj	rv	0	qiu0
瀁	j	og	2	jag1,jag2
瀁	j	og	1	jag1,jag2
瀂	l	ov	1	
瀃	ṯ	i	2	
瀄	tj	in	3	ţrit
瀄	tj	in	3	ţrit
瀅		ig	0	queg2
瀅		ig	2	queg2
瀆	d	ug	3	duk
瀆	d	rv	2	duk
瀇	qv	og	1	quag1
瀈	xv	i	0	xyoi0
瀉	s	e	2	sia1,sia2
瀉	s	e	1	sia1,sia2
瀊	b	un	0	
瀋	sj	rm	1	ṯjim1
瀌	p	iv	0	pieu0,by0
瀍	dj	in	0	drien0
瀎	qm	un	3	muat,met
瀏	l	rv	0	liu0,liu1
瀐	ţ	im	0	
瀑	b	ug	3	bau2,buk
瀑	bx	ug	3	bau2,buk
瀑	b	ov	2	bau2,buk
瀒	k	im	3	
瀓	ḑ	ig	0	
瀔	k	ug	3	
瀕	p	rn	0	
瀕	b	rn	0	
瀖	xv	og	3	xuak
瀗	x	in	2	xian2
瀘	l	ov	0	lo0
瀙	ṯ	rn	2	ţrin0,ṯrin2,ṯin2
瀚	h	on	2	xan2
瀛		ig	0	jeg0
瀜	j	ug	0	jug0
瀝	l	ig	3	lek
瀝	l	eg	3	lek
瀞	ḑ	ig	2	
瀟	s	iv	0	
瀠		ig	0	
瀡	z	uj	1	sye2
瀢	v	i	1	jyi1,duai1
瀣	h	aj	2	xrai2,xai2
瀤	hv	aj	0	xruai0
瀥	h	ov	2	xruk
瀦	tj	y	0	trio0
瀧	l	ug	0	lug0,lrug0,srug0
瀧	sj	wg	0	lug0,lrug0,srug0
瀨	l	aj	2	lad0
瀩	d	wj	2	
瀪	bv	an	2	
瀫	h	ug	3	
瀭	s	y	0	
瀮	l	rm	0	
瀯		ig	0	
瀰	n	i	0	mje0,mje1,ne1
瀰	m	i	0	mje0,mje1,ne1
瀱	k	rj	2	kied0
瀲	l	im	2	liem1,liem2
瀳	ḑ	in	2	ţen0,ḑen2
瀴	q	ig	0	meg1,qeg1,qrag2
瀴	q	ig	1	meg1,qeg1,qrag2
瀵	ꝑv	rn	2	ꝑyon2,pyon2
瀶	l	rm	0	lim0
瀷		ig	3	jik,ṯjik
瀸	ţ	im	0	ţiem0
瀹	j	og	3	jak
瀺	dj	am	0	ḑrem1
瀻	t	aj	2	
瀼	nj	wg	0	njag0
瀼	nj	wg	1	njag0
瀽	ţ	in	1	
瀽	k	in	1	
瀾	l	an	0	lan0,lan2
瀿	bhv	an	0	byan0
灀	s	wg	2	
灁	q	yn	0	
灂	dj	og	3	ḑruk
灂	tj	iv	2	ḑruk
灃	ꝑv	ug	0	ꝑiug0
灄	sj	im	3	sjep
灅	l	wj	1	
灆	l	am	0	
灇	ḑ	ug	0	
灈	c	y	0	ţyo0
灉	qj	ug	0	qyug0,qyug2
灊	ḑ	im	0	zim0,ḑim0,ḑiem0
灋	pv	an	3	pyap
灌	k	un	2	kuan2
灍	ꝁ	yn	3	
灎		im	2	
灐		ig	0	
灑	sj	a	1	srie1,sre1,sra1,srie2
灒	ţ	an	2	ţan2
灓	l	yn	0	luan0,luan2,lyen2
灔		im	2	
灕	l	i	0	lie0
灖	m	ej	1	
灗	z	in	1	
灘	ŧ	an	0	ŧan0,xan1,nan2
灙	t	og	1	
灚	k	av	1	
灛	ŧj	in	1	ṯjen1
灜		ig	0	
灝	h	ov	2	xau1,kom1
灞	p	a	2	pra2
灟	ţ	ug	3	
灠	l	am	1	
灠	l	am	2	
灡	l	an	0	
灢	n	og	1	nag1,nag2
灣	qv	an	0	qruan0
灣	qv	rn	0	qruan0
灣	v	an	0	qruan0
灤	l	yn	0	luan0
灥	ḑ	on	0	zyn0,ṯjyen0
灦	x	in	1	
灧		im	2	
灨	k	om	2	kom1,kom2
灩		im	2	jem2
灪	qv	rn	3	qyot
火	xv	o	1	xua1
灬	p	iv	0	
灮	kv	og	0	kuag0
灰	xv	uj	0	xuai0
灱	x	av	0	xrau0
灲	x	av	0	
灳	pv	i	0	
灴	h	ug	0	
灷	ḑ	yn	2	
灸	k	rv	2	kiu1,kiu2
灹	tj	a	2	tra2
灺	s	e	2	zia1
灺	ḑ	e	1	zia1
灺	ṯ	e	1	zia1
灻	ṯ	eg	3	
灼	ŧj	wg	3	ţjak
灼	tj	wg	3	ţjak
災	ţ	oj	0	ţai0
灾	ţ	oj	0	ţai0
炁	ꝁ	i	2	ꝁioi2
炂	tj	ug	0	ţjyug0
炃	bhv	rn	0	
炄	n	rv	1	
炅	kv	ig	1	kueg1,kue2
炅	kv	i	2	kueg1,kue2
炅	cv	i	2	kueg1,kue2
炆	qm	rn	0	
炇	ꝑ	og	3	
炈		ig	3	jyek
炊	ŧj	uj	0	ṯjye0
炋	ꝑ	uj	0	
炌	ꝁ	aj	2	
炍	ꝑ	un	2	
炎	h	im	0	iem0
炏	ꝁ	aj	2	
炐	ꝑ	og	2	
炑	m	ug	3	
炒	ŧj	av	1	ṯrau1
炓	l	iv	2	leu2
炔	ꝁ	yn	3	kue2
炔	k	rj	2	kue2
炔	kv	i	2	kue2
炕	ꝁ	og	2	xag0,ꝁag2
炕	x	og	2	xag0,ꝁag2
炖	d	rn	2	
炖	d	on	2	
炗	kv	og	0	
炘	xj	rn	0	xion0,xion2
炙	tj	eg	3	ţja2,ţjek
炙	tj	ig	3	ţja2,ţjek
炚	kv	og	0	
炛	kv	og	0	
炞	b	in	2	
炟	t	an	3	tat
炠	zj	am	3	xrap
炡	ţ	ig	0	
炢	zj	on	3	dryt
炣	x	o	1	
炤	tj	iv	2	ţjeu2
炤	ŧj	iv	0	ţjeu2
炤	tj	iv	0	ţjeu2
炥	bv	rn	3	byot
炦	b	rn	3	buat
炧	s	e	2	
炧	ḑ	e	1	
炧	ṯ	e	1	
炨	s	e	2	
炩	l	ig	2	
炪	t	yn	3	ŧryt,ţjyet
炫	h	yn	2	xuen2
炫	h	yn	0	xuen2
炬	c	y	2	ţio1
炭	ŧ	an	2	ŧan2
炮	ꝑ	av	2	brau0,ꝑrau2
炮	b	av	0	brau0,ꝑrau2
炮	p	av	2	brau0,ꝑrau2
炯	kv	ig	1	xueg1,kueg1
炰	b	av	0	brau0
炰	pv	rv	1	brau0
炱	d	oj	0	dai0
炲	d	oj	0	
炳	p	ig	1	pieg1
炴	q	wg	1	qiag1
炵	ŧ	ug	0	duug0,ŧuug0
炶	sj	im	1	xam0
炷	tj	y	2	ţjyo1,ţjyo2
炸	ţ	a	2	
炻	z	eg	3	
炾	pv	og	1	
炿	ţ	rv	0	
烀	pv	u	0	
烄	k	av	1	krau1,kau2
烅	kv	ig	3	
烆	h	rg	0	
烇	ṯ	yn	1	
烈	l	in	3	liet
烉		un	2	
烊	j	og	0	jag0
烊	q	wg	1	jag0
烋	x	av	0	xy0
烋	xj	rv	0	xy0
烌	qj	rv	0	
烍	s	in	1	
烎	ḑ	im	0	
烏	qv	u	0	qo0
烐	ţ	rv	0	
烑		iv	0	jeu0
烒	sj	ig	3	sjik
烓	kv	ig	0	que0,ꝁueg1
烔	d	ug	0	dug0
烔	dj	ug	0	dug0
烕	x	yn	3	xyet
烕	ꝁ	yn	3	xyet
烕	m	in	3	xyet
烖	ţ	oj	0	ţai0
烗	ꝁ	aj	2	ꝁrai2
烘	x	ug	2	xug0,xug0,xug2,xug2
烘	x	ug	0	xug0,xug0,xug2,xug2
烘	x	og	2	xug0,xug0,xug2,xug2
烘	h	ug	0	xug0,xug0,xug2,xug2
烙	ql	og	3	lak
烚	h	rm	3	xrep
烜	x	yn	1	xye1,xyan1
烜	x	yn	0	xye1,xyan1
烝	tj	ig	0	ţjig0,ţjig2
烞	ꝑ	og	3	
烟	q	in	0	qjin0,qen0
烟	qj	rn	0	qjin0,qen0
烠	hv	uj	0	xuai0
烡	kv	og	0	
烢	ṯ	ag	3	
烣	pv	uj	0	
烤	x	av	0	
烤	x	av	1	
烥	c	y	2	
烪	kv	an	0	
烮	l	in	3	
烯	x	ej	0	
烰	bhv	rv	0	biu0
烱	kv	ig	1	
烲	x	in	3	
烳	ꝑ	ov	1	ꝑo1
烴	ŧ	ig	0	keg1
烵	ţ	wg	3	
烶	d	ig	1	
烷	q	yn	1	
烷		yn	0	
烸	x	oj	1	
烹	ꝑ	ag	0	
烺	l	og	1	
烻	q	in	2	
烼	xv	rn	3	xyot
烽	ꝑv	ug	0	ꝑyug0
烾	ŧj	eg	3	ṯjek
烿	j	ug	0	
焀	h	ug	3	xuk
焁	x	i	0	xie0,xje0
焂	s	ug	3	
焃	x	ag	3	xruek
焄	xv	rn	0	xyon0
焅	c	ug	3	ꝁuuk
焆	k	yn	0	kuen0,quet,qiet
焇	s	iv	0	sieu0
焈	x	ej	0	
焉	q	in	0	qian0,qien0,ien0
焉	h	in	0	qian0,qien0,ien0
焊	h	on	2	xan1
焋	ţ	og	2	
焌	ţ	on	2	ţyn2,ţuon2,ṯyt
焌	ţ	on	3	ţyn2,ţuon2,ṯyt
焍	d	rj	2	
焎	x	in	3	xiet
焏	k	ig	3	
焐	g		2	
焑	q	in	0	
焒	l	wj	1	
焓	h	rm	0	
焕		un	2	
焗	c	ug	3	
焙	b	uj	2	
焙	bx	uj	2	
焚	bhv	rn	0	byon0
焛	l	on	2	
焜	ꝁv	rn	0	xuon1
焝	pv	rn	2	
焞	zj	on	0	ḑjyn0
焞	ŧ	rn	0	ḑjyn0
焟	s	ig	3	siek
焠	ṯ	uj	2	ṯuai2
焠	z	uj	2	ṯuai2
無	m	ov	0	myo0
無	m	o	0	myo0
焢	x	ug	0	
焣	ṯ	av	1	
焤	bv	u	2	
焥	qv	an	3	quat
焦	ţ	iv	0	ţieu0
焧	ṯ	ug	0	
焨	pv	ug	2	
焩	b	rg	0	
焪	ꝁ	ug	2	ꝁiug0,ꝁiug2
焫	qnj	yn	3	njyet
焫	nj	yn	3	njyet
焫	qn	an	3	njyet
焬	s	ig	3	
焭	c	ig	0	ţjyeg0
焮	xj	rn	0	xion2
焯	tj	wg	3	ţjak
焯	ŧj	wg	3	ţjak
焰		im	2	jem2
焰		im	0	jem2
焱		im	2	jem2,xuek
焲		ig	3	jek
焳	ţ	wg	3	
焴	qj	ug	3	juk
焵	k	og	2	
然	nj	in	0	njen0
焷	b	i	0	bje0
焸	x	ig	1	ko1
焹	k	og	2	
焺	s	ig	0	
焻	ṯ	wg	2	
焽	m	ig	0	
焾	n	rm	0	
焿	k	rg	0	
煀	qv	rn	3	
煁	zj	rm	0	ḑjim0
煂	x	ag	3	
煃	ꝁv	i	1	
煄	ţ	ug	1	
煅	t	yn	2	
煅	d	yn	2	
煆	h	a	2	xra0,xra2
煇	xv	i	0	xyoi0,xuon0,xuon1
煇	xv	i	0	xyoi0,xuon0,xuon1
煇	hv	rn	2	xyoi0,xuon0,xuon1
煈	pv	ug	2	
煉	l	in	2	
煊	x	yn	0	
煋	s	ig	0	
煌	hv	og	0	xuag0
煍	ţ	iv	1	
煎	ţ	in	0	ţien0,ţien2
煏	p	ig	3	
煐	q	ig	0	
煑	tj	y	1	ţjo1
煒	hv	i	1	yoi1
煓	ŧ	yn	0	ŧuan0
煔	sj	im	1	xam0,sjem2,ŧem2
煕	x	ej	0	
煖	n	yn	1	xyan0,nuan1
煖	x	yn	0	xyan0,nuan1
煗	n	yn	1	nuan1
煘	ḑ	im	0	
煚	kv	ig	1	kyeg1
煛	kv	ig	1	kueg1
煜	qj	ug	3	juk,ip
煝	m	i	2	mii2
煞	sj	an	3	sret
煟	hv	i	2	yoi2
煠	tj	a	2	jep,ŧriep,ḑrep
煡	ḑ	on	2	
煢	c	ig	0	ţjyeg0
煣	qnj	rv	1	nju1,nju2
煤	m	uj	0	muai0
煥		un	2	xuan2
煦	x	wj	1	xyo1,xyo2
煦	x	wj	2	xyo1,xyo2
照	tj	iv	2	ţjeu2
煨	qv	uj	0	quai0
煩	bhv	an	0	byan0
煪	ḑ	rv	0	ḑiu0
煫	z	wj	2	
煬	j	og	0	jag0,jag2
煬	j	og	2	jag0,jag2
煭	l	in	3	
煮	ţ	y	1	
煯	k	aj	0	
煰	ṯ	ov	2	
煱	qv	o	0	
煲	p	ov	0	
煳		u	0	
煴	qv	rn	0	qyon0
煵	n	am	0	
煶	ḑ	ig	3	
煷	pv	o	1	
煸	ꝑ	in	0	
煸	p	in	0	
煹	k	rv	2	ku2
煺	ŧ	wj	2	
煻	d	og	0	dag0
煼	ŧj	av	1	ṯrau1
煽	sj	in	2	sjen0,sjen2
煾	qj	rn	0	qon0
煿	p	og	3	
熀	pv	og	1	
熁	x	im	3	xiap
熂	x	i	2	xioi2
熃	m	ov	2	
熄	s	ig	3	sik
熅	qv	rn	0	
熆	h	om	3	xap
熇	h	ug	3	xuk,xuuk,xak
熇	ꝁ	og	3	xuk,xuuk,xak
熇	x	og	3	xuk,xuuk,xak
熈	x	ej	0	
熉		yn	0	
熊	h	ug	0	iug0
熋	n	oj	0	
熌	s	im	2	
熍	x	ug	2	
熎	q	iv	2	
熏	xv	rn	0	xyon0
熐	m	ig	3	
熑	l	im	0	lem0
熒	h	ig	0	xueg0
熓	qv	rn	3	
熔	j	ug	0	
熕	k	ug	2	
熖		im	2	
熗	ṯ	wg	2	
熘	l	rv	2	
熘	ql	iv	0	
熘	l	rv	0	
熙	x	i	0	xi0
熚	p	rn	3	pjit
熛	p	iv	0	pjeu0
熜	ţ	ug	1	
熜	ṯ	ug	0	
熝	l	ug	3	
熞	k	in	0	
熟	zj	ug	3	ḑjuk
熠	qj	rm	3	ip,jip
熠	zj	am	3	ip,jip
熡	l	rv	0	
熢	b	ug	0	
熣	s	wj	0	
熤		ig	3	
熥	ŧ	ug	0	
熦	ţ	wg	3	
熧	ţ	ug	0	ţyug0
熨	ŧ	og	2	qyoi2,qyot
熨	v	rn	2	qyoi2,qyot
熨	qv	i	2	qyoi2,qyot
熩		u	2	
熪		i	0	je0
熫	ţ	eg	3	
熬	g	av	0	gau0
熬	g	ov	0	gau0
熭	hv	i	2	yed0,yat
熮	l	rv	1	leu0,liu1,lieu2
熯	x	on	2	xan1,njen1,xan2
熰	q	rv	0	
熱	nj	in	3	njet
熲	kv	ig	1	kueg1
熲	k	rg	1	kueg1
熳	m	an	2	
熴	ꝁv	rn	0	
熵	s	wg	0	
熶	ṯ	yn	2	
熷	ţ	rg	0	ţog0
熸	ţ	im	0	ţiem0
熹	x	i	0	xi0
熺	x	ej	0	
熻	xj	rm	3	xip
熼		ig	3	jik
熽	s	iv	2	seu2
熾	ŧj	i	2	ṯji2
熿	v	og	0	
燀	ŧj	in	1	ṯjen0,ţjen1,ṯjen1
燀	d	an	2	ṯjen0,ţjen1,ṯjen1
燁	h	im	3	iep
燂	d	am	0	dom0,ḑiem0
燂	ḑ	im	0	dom0,ḑiem0
燂	ḑ	om	0	dom0,ḑiem0
燃	nj	in	0	njen0
燄		im	2	jem1
燄		im	0	jem1
燅	ḑ	rm	0	ziem0
燅	ḑ	im	0	ziem0
燆	h	iv	0	
燇	ţ	on	2	
燈	t	rg	0	tog0
燉	d	rn	2	ŧuon0,duon0
燉	d	on	2	ŧuon0,duon0
燊	sj	rn	0	srin0
燋	ţ	iv	0	ţieu0,ţiak
燋	ḑ	iv	0	ţieu0,ţiak
燌	bhv	rn	0	byon0
燍	s	i	0	sie0
燎	l	iv	0	lieu0,lieu1,lieu2
燎	l	iv	2	lieu0,lieu1,lieu2
燏	v	rn	3	jyt
燐	l	on	0	lin0,lin2
燑	d	ug	0	
燒	sj	iv	0	sjeu0,sjeu2
燓	bhv	rn	0	
燔	bhv	an	0	byan0
燕	q	in	2	qen0,qen2
燕	q	in	1	qen0,qen2
燕	q	in	0	qen0,qen2
燖	ḑ	rm	0	ziem0
燗	l	an	2	
燘	m	uj	1	xuai1,muai1
燙	ŧ	og	2	
燚		ig	3	
燛	kv	ig	1	
燜	m	un	2	
燝	k	ig	1	
燞	ţ	iv	2	
營		ig	0	jyeg0
燠	qj	ug	3	qau1,qau2,qiuk
燠	q	ov	1	qau1,qau2,qiuk
燠	q	y	2	qau1,qau2,qiuk
燡		ig	3	jek
燢	h	og	3	
燣	l	am	0	lom1
燤	ŧ	aj	2	
燥	ṯ	ov	2	sau1
燦	ṯ	an	2	ṯan2
燧	z	uj	2	zyi2
燨	x	ej	0	
燩	ꝁ	og	3	ꝁruk,ꝁek
燪	ţ	ug	1	
燫	l	im	0	lem0
燬	xv	i	1	xye1
燭	tj	ug	3	ţjyuk
燮	s	in	3	sep
燯	l	ig	0	
燰	qv	uj	0	
燱	q	i	2	
燲	x	im	3	
燳	ţ	iv	2	
燴		uj	2	
燵	d	an	3	
燶	qn	ug	0	
燷	l	am	0	lom0
燸		y	0	
燹	s	in	1	sen1,sien1,xyi2
燺	h	ug	3	ꝁau1
燻	xv	rn	0	xyon0
燼	ḑ	on	2	zin2
燼	ţ	on	1	zin2
燽	dj	rv	0	driu0
燾	d	ov	0	dau0,dau2
燾	d	ov	2	dau0,dau2
燿		iv	2	jeu2
燿	sj	wg	3	jeu2
爀	x	ag	3	xrak
爁	l	am	2	lam1,lam2,liem2
爁	l	am	1	lam1,lam2,liem2
爂	p	iv	0	ꝑjeu0
爃	v	ig	0	
爄	l	rj	2	
爅	m	rg	3	
爆	p	av	2	prau2,pruk,pak
爇	qnj	yn	3	njyet
爇	nj	yn	3	njyet
爈	l	wj	0	lio0
爉	l	am	3	
爊	g	av	0	
爊	g	ov	0	
爋	xv	rn	0	xyon2
爌	ꝁ	og	2	xuag1,ꝁuag1,ꝁuag2
爌	ꝁv	og	2	xuag1,ꝁuag1,ꝁuag2
爍	sj	wg	3	sjak
爍	ql	ig	3	sjak
爎	l	iv	0	
爏	l	ig	3	
爐	l	ov	0	lo0
爑	ţ	wg	3	
爒	l	iv	1	leu1,lieu1
爓		im	2	ziem0,jem2
爓		im	0	ziem0,jem2
爓	ḑ	rm	0	ziem0,jem2
爓	ḑ	im	0	ziem0,jem2
爔	x	ej	0	
爕	s	in	3	
