character	initial	final	tone	mc
㕔	ŧ	ig	0	
㕕	v	an	2	
㕖	s	ov	2	
㕗	j	rv	1	
㕘	ṯ	am	0	
㕘	s	am	0	
㕘	s	am	2	
㕘	s	rm	0	
㕘	ṯ	rm	0	
㕙	ţ	on	2	ṯyn0,ţyn2
㕚	tj	av	1	ţrau1
㕛	hj	rv	1	iu1
㕜	s	i	1	
㕝	z	i	2	
㕞	ŧj	an	3	sryet
㕟	ꝁv	i	1	ꝁruai2
㕠	s	wg	0	
㕠	s	ug	0	
㕡	ꝁ	og	3	xak
㕢	h	aj	2	xrad0,kai2
㕣		in	1	jyen1
㕤	c	rv	0	
㕥		i	1	
㕦	hv	a	2	xrua2
㕧	sj	i	0	xii2
㕨	bv	an	2	
㕩	ꝑ	og	2	
㕪	t	rm	1	
㕫	pv	ug	0	
㕬	tj	ug	0	ţjyug0
㕭	q	av	2	qrau0
㕭	q	iv	0	qrau0
㕭	qj	av	0	qrau0
㕮	pv	u	1	pyo1,byo1
㕯	n	on	3	nuot,nruet,njyet
㕰	x	og	3	xruk
㕱	j	rv	0	
㕲	qm	ug	3	
㕳	x	ug	0	
㕴	s	rm	1	
㕵	kv	og	3	
㕶	g		2	
㕶	g		0	
㕷	qv	ag	3	
㕸	ql	rm	3	
㕹	bv	rn	3	
㕺	x	iv	0	
㕻	ŧ	rv	2	
㕼	x	ug	0	
㕽	ḑ	i	1	
㕾	s	iv	1	
㕿	v	o	0	
㖀	l	on	3	
㖁	l	on	2	
㖂	j	rj	2	
㖃	x	rv	1	xu1,xu1,xu2
㖄	ţ	rv	0	
㖅	s	on	3	syt
㖆	ꝁ	ug	3	
㖇		i	0	
㖈	l	ov	1	
㖉	c	ej	1	
㖋	k	aj	2	
㖌	z	rv	0	
㖍	t	rv	1	
㖎	k	aj	2	
㖏	n	in	3	net
㖐	v	i	1	
㖑	x	aj	2	xrai2
㖒	d	rj	0	de0
㖓	h	ug	0	
㖔	ŧ	rn	2	
㖕	s	rn	0	
㖖	g	on	3	
㖗	j	rm	0	
㖘	sj	on	1	ţjin0
㖘	sj	rn	1	ţjin0
㖙	k	a	0	
㖚	bv	u	2	
㖛	k	u	1	
㖜	q	ig	0	
㖝	m	ej	2	
㖟	zj	rv	2	ḑju2
㖠	n	a	1	
㖡	j	e	2	
㖡		e	2	
㖢	ṯ	i	0	
㖣	ŧ	rv	2	
㖤	h	am	0	
㖥	ql	on	0	ţyn1
㖦	t	ug	1	
㖧	pv	rn	0	
㖧	m	rn	1	
㖨	l	ug	3	
㖩	ţ	wj	0	ţyo0
㖪	v	ag	3	xruek
㖫	l	ig	0	
㖬	s	rv	0	
㖭	ŧ	im	0	
㖮	l	on	0	
㖯	d	ug	0	
㖰	d	ug	0	
㖱	j	e	2	
㖲		y	0	
㖳		y	1	
㖴	m	rn	1	
㖵	k	on	3	
㖶	q	in	0	
㖷	zj	i	0	ḑje0
㖸	ql	a	0	
㖹	ꝑ	rn	2	
㖺	ṯ	on	1	
㖻	n	rv	0	
㖼	m	rv	0	
㖽	ţ	ag	3	
㖾	g	og	3	
㖿	j	e	1	
㗀	qj	rv	0	
㗁	g	og	3	gak
㗂	s	ag	1	
㗃	m	rn	1	
㗄	ꝁ	u	0	
㗅		u	0	
㗆	k	ag	3	
㗇	x	a	0	
㗇	ch	a	1	
㗈	m	an	2	
㗉	l	wg	3	liak
㗊	l	wj	0	ţrip
㗋	h	rv	0	
㗌	ţ	rn	3	
㗍	ţ	aj	0	
㗎	k	a	2	
㗎	ch	a	0	
㗎	k	a	1	
㗏	qv	aj	0	
㗐	x	am	3	
㗑	p	aj	2	
㗒	q	oj	0	
㗓	ţ	wj	0	
㗔	ꝁ	in	0	ꝁien0
㗕	k	rv	2	ku0
㗖	d	am	2	
㗗	p	i	1	pie1
㗘	p	og	3	pak
㗙	ŧj	o	0	nrep
㗚	l	on	3	lit
㗛	s	iv	2	sieu2
㗜	ṯ	rv	2	
㗝	k	ov	0	
㗞	ꝑ	o	2	
㗟	ţ	y	2	
㗠	ṯ	i	1	
㗡		ig	0	
㗢	h	ug	0	xuug0,dug2,xuug2
㗣	ŧ	rj	2	
㗤	ţ	ug	3	ţiuk
㗥	ꝁv	og	3	
㗦	l	ov	0	lau0
㗧	tj	rn	3	trit,tet
㗨	x	aj	0	xre0
㗩	s	rm	3	sip
㗪	ꝑ	ej	0	
㗫	ṯ	in	3	ṯet
㗬	tj	a	0	ŧra0
㗭	s	ig	3	
㗮	k	rg	0	
㗯	ţ	e	1	
㗰	ḑ	ug	0	
㗱	ḑ	am	3	ţip
㗲	qv	ag	3	xruek
㗳	t	rm	3	
㗴	g	an	0	gren0
㗵	xv	rn	3	xyot
㗶	ꝑ	un	3	
㗷	ṯ	oj	2	
㗸	h	am	0	
㗹	v	i	0	
㗺	s	am	3	
㗻	c	o	2	kua0,xua0
㗼	g	im	3	giap
㗽	x	wg	1	
㗾	x	w	0	xya0
㗾	h	w	0	xya0
㗿	x	o	0	xa1,xra1,xra2
㘀	ţ	og	3	ţak,ţuak
㘁		ig	3	jek
㘂	ḑ	i	0	
㘃	j	e	1	
㘄	ql	rg	0	
㘅	h	am	0	
㘆	ŧ	oj	1	ŧai1
㘇	v	ig	0	
㘈	g	ig	3	gi2,gik
㘉	tj	ig	3	ţrit
㘉	tj	in	3	ţrit
㘊	ꝁ	rm	3	
㘋	h	in	0	in0,xen0
㘌	cx	wg	3	ţiek
㘍	ţ	rn	3	ţit
㘏	d	ov	2	
㘐	ꝑ	av	2	
㘑	l	rj	2	
㘒	ţ	ug	1	
㘓	l	an	0	lan0
㘔	ṯ	oj	2	
㘕	x	am	2	
㘖	g	an	0	
㘗	ꝁ	y	0	
㘘	ql	yn	1	
㘙	g	am	0	giek
㘚	x	am	2	
㘚	x	am	1	
㘛	x	rm	0	
㘜	ḑ	rv	0	
㘝	n	am	3	nrip,nrep
㘞	v	o	2	
㘟	ṯ	wg	0	
㘠	p	ig	3	pik
㘡	h	am	3	
㘢	qv	rg	1	
㘣	zj	yn	0	xuen0
㘤	qv	an	0	
㘥	j	rv	0	ju0
㘥	g	o	0	ju0
㘦	c	rn	0	
㘧	ḑ	wj	2	
㘨	n	im	3	nep
㘩	b	ej	2	
㘪	x	ov	2	
㘫	k	ig	1	
㘬	q	av	2	
㘭	q	av	2	
㘭	q	av	0	
㘮		ig	3	
㘯	ḑ	wg	0	
㘰	tj	rm	0	ţjim0
㘱	ŧ	an	0	ŧam0
㘲	k	ug	3	kiuk
㘳	qj	rv	0	
㘴	ḑ	o	2	
㘵	p	ov	2	
㘶	c	in	3	
㘷	g	aj	2	
㘸	ţ	og	2	
㘹	ḑ	i	0	
㘺	bv	rn	3	
㘻	qj	rn	0	qjin0
㘼	x	av	1	
㘽	ţ	oj	0	
㘾		y	1	
㘿	n	in	3	
㙀	l	rv	2	liu2
㙁	m	uj	0	miuk
㙂	d	wj	2	
㙃	p	rg	0	
㙄	b	rj	2	be1
㙅	p	ov	1	
㙆	v	rg	0	
㙇	ŧj	ug	3	ŧryuk
㙈	x	a	2	
㙉	ŧ	in	1	
㙊	dj	wg	0	driag0
㙋	k	ej	0	
㙌	s	ug	3	
㙍	ţ	wj	2	
㙎	qv	i	0	
㙏	ꝑv	ug	3	ꝑiuk
㙐	t	o	1	
㙑		y	1	
㙒	j	e	1	
㙓	cv	i	0	
㙔	v	i	1	
㙕	pv	aj	2	
㙖		y	1	
㙗	qv	uj	0	
㙘	q	iv	0	
㙙	l	ug	1	lyug1
㙚	s	ig	0	
㙛	p	ov	1	
㙜	ꝁ	og	3	
㙝	x	im	3	
㙞	g	rn	3	
㙟	l	og	1	
㙠	q	rj	0	qe0,qe2
㙡	ţ	ug	0	
㙢	m	un	0	
㙣	ţ	wg	2	
㙤	ql	a	2	xra2
㙥	kv	rn	2	
㙦	ḑ	e	0	
㙧	l	rv	2	
㙨	k	i	0	ţioi0
㙩	l	iv	0	leu0,lieu2
㙪	q	rj	2	qii2,qe2
㙫	ṯ	rm	3	
㙬	g	rn	0	
㙭	ꝁ	yn	3	
㙮	t	am	3	
㙯	g	rj	2	
㙰	h	aj	1	
㙱	k	ov	1	xau2
㙲	qj	ug	0	qyug2
㙳	x	rm	1	
㙴	ŧj	im	2	ṯjem2
㙵	d	oj	0	
㙶	d	og	0	
㙷	dj	am	3	drip,driep
㙸	ꝑ	og	3	
㙹	m	ug	2	
㙺	cv	i	0	
㙻	dj	in	0	drien0
㙼	l	wj	1	
㙽	s	ig	3	
㙾	h	og	3	
㙿	x	ej	0	
㚀	x	i	0	xie0
㚁	ꝁ	iv	2	ꝁieu2
㚂	n	og	2	nag2
㚃	qv	rn	0	qyon0
㚄	ţ	i	2	
㚅	l	ug	0	liug0
㚆	bv	ug	3	
㚇	ţ	ug	0	ţug0,ţug2
㚈	g	oj	2	
㚉	k	u	1	
㚊	ꝁ	oj	0	ꝁai0
㚋	t	iv	0	teu0
㚌	pv	o	1	
㚍	ꝁv	uj	1	ꝁuai1
㚎	x	wj	2	
㚏	k	ov	1	
㚐	ŧ	ov	2	
㚑	l	ig	0	
㚒	sj	im	1	sjem1,sjek
㚓	l	oj	0	
㚔	n	im	3	nriep
㚕	b	rn	3	
㚖	k	ov	1	kau1,ṯjek
㚗	ḑ	e	0	ḑia0
㚘	b	un	2	buan1
㚙	k	a	0	
㚚	ꝁv	rg	0	
㚛	x	rj	2	xe2
㚜	hv	ig	3	yk
㚝	ţ	wj	0	
㚞	s	rm	1	
㚟	ṯ	wg	3	
㚠	x	iv	0	xeu0,ꝁjeu0
㚡	k	ej	1	
㚢	n	ov	0	no0
㚣	k	av	1	
㚤		ig	3	jik
㚥	q	y	0	
㚦	k	ej	0	
㚧	ṯ	im	0	
㚨	s	rn	0	
㚩		im	1	
㚪	x	ov	2	
㚫	s	am	3	sop
㚬	kv	rn	0	
㚭	j	rv	0	
㚮	t	am	0	
㚰	ꝑ	uj	0	
㚱	qj	rv	0	
㚲	ŧj	im	0	ṯjem0,ṯjep
㚳	q	a	2	
㚴	ꝑ	ov	2	
㚵	t	ug	0	
㚶	ḑ	i	1	
㚷	n	aj	1	nre1
㚸	s	i	0	
㚹	m	av	0	
㚺	j	rn	2	
㚻	k	rj	0	
㚼	qn	rv	1	
㚽	x	av	1	
㚾	x	ig	0	
㚿	p	av	0	
㛁	ꝑ	ag	0	ꝑreg0
㛂	n	o	0	gua1,nua1
㛃	k	in	3	
㛄	q	i	0	qioi0
㛅	n	i	2	nji2
㛆	t	o	2	tua2
㛇	ţ	og	0	
㛈	x	av	1	
㛉	q	iv	2	
㛊	t	o	2	
㛋	n	ej	1	
㛌	m	rv	0	
㛍	x	im	3	xiem1,ꝁep,xep
㛎	l	wj	1	
㛏	c	rv	0	
